feature_set,feature_set_name,outer_fold,n_train_before_buffer,n_train_after_buffer,n_test,n_test_positive,n_test_negative,outer_buffer_km,inner_buffer_km,roc_auc,pr_auc,balanced_accuracy,f1,precision,sensitivity,specificity,brier,log_loss,ece_10bin,threshold
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,1,2362,2073,654,399,255,20.0,20.0,0.962248759152784,0.978380777732575,0.8908889871738168,0.9129886506935687,0.9187817258883249,0.9072681704260651,0.8745098039215686,0.07753987606495645,0.2561620678914166,0.04735448799342267,0.41913377540096863
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,2,2042,1697,974,532,442,20.0,20.0,0.9313314394583745,0.9534121479301292,0.8571130881502398,0.8679962013295347,0.8771593090211133,0.8590225563909775,0.8552036199095022,0.10160971031140599,0.3266970243536768,0.032234914372064466,0.30586012648229505
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,3,2592,2395,424,196,228,20.0,20.0,0.9487334407447189,0.9555495105937418,0.8869047619047619,0.8772845953002611,0.8983957219251337,0.8571428571428571,0.9166666666666666,0.08102161824783262,0.275115025162752,0.04983322823773418,0.3410028221468021
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,4,2599,2383,417,140,277,20.0,20.0,0.9724600309437854,0.9608865622643311,0.9119004641567818,0.8675496688741722,0.808641975308642,0.9357142857142857,0.8880866425992779,0.06573255970486347,0.23799665540939502,0.08294365029950174,0.42499994627304916
conventional_alphaearth_embeddings,Conventional + AlphaEarth Embeddings,5,2469,2289,547,241,306,20.0,20.0,0.9620725191874815,0.958739088888976,0.8827190627288259,0.8697318007662835,0.8078291814946619,0.941908713692946,0.8235294117647058,0.08124221733050084,0.2830980198969314,0.07057237277810821,0.3251687994310354
